Price,Close,High,Low,Open,Volume
Ticker,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS
Date,,,,,
2014-02-13,562.4847412109375,569.7066545479473,557.9139241105786,562.2105033441374,3135266
2014-02-14,556.771240234375,572.7234036583013,553.2517332565944,569.0667498440424,3027378
2014-02-17,553.1602783203125,561.4791991485192,549.5036245398547,557.6397015198169,998680
2014-02-18,557.4110717773438,559.3765451893815,552.1546328060937,553.0687961054415,873040
2014-02-19,569.7980346679688,571.992049141048,558.7366798734494,560.382162830206,2157227
2014-02-20,566.4614868164062,574.8260501274979,564.7702507093142,567.1013566879424,1270381
2014-02-21,562.34765625,570.6208241317938,559.0566344245282,568.6096534266901,1461648
2014-02-24,567.3297729492188,570.3922537587325,559.467990176939,559.467990176939,1215618
2014-02-25,565.9127197265625,571.2606079424174,563.3073769161341,569.0665939365138,1202575
2014-02-26,574.1860961914062,579.5796833867953,567.421319484434,568.6097209252156,1924757
2014-02-28,589.3612670898438,592.2866016847394,574.871740969859,574.871740969859,2932048
2014-03-03,571.4434204101562,597.2685320036337,569.1123153016457,593.2919442182979,1842188
2014-03-04,566.2327880859375,574.8258898976121,563.4445452966654,571.4892272256907,1535706
2014-03-05,570.1636352539062,573.8202882864199,566.8269170432986,571.3520363302537,1050698
2014-03-06,567.6954956054688,575.9229665562726,565.6386278677677,570.6665267821479,1490879
2014-03-07,559.7421264648438,572.2661736937175,556.1311705994104,572.2661736937175,2382533
2014-03-10,545.755615234375,558.9195920911367,542.0075671634382,555.8114138400335,2709056
2014-03-11,530.443359375,544.84143418785,528.3864915445929,544.84143418785,3466509
2014-03-12,552.4288940429688,555.308530876364,531.8602189361521,531.8602189361521,2633927
2014-03-13,523.7700805664062,558.4168498298662,516.9595501348483,558.4168498298662,8061906
2014-03-14,532.0887451171875,533.6428339083463,505.1209273864874,521.0730883559013,7116344
2014-03-18,529.6204223632812,535.6996299015915,522.3985666323662,534.7854667106332,2274732
2014-03-19,535.059814453125,537.2081318709706,528.3864329470971,531.2660699087628,1529578
2014-03-20,539.5392456054688,544.7499881038013,531.1289312322431,531.1289312322431,2142868
2014-03-21,530.5804443359375,542.0531835149653,529.4834371284378,539.4020874131833,3117102
2014-03-24,529.57470703125,537.3450938854171,529.3004692426741,530.2603294007354,2238185
2014-03-25,529.57470703125,535.6082173603756,525.7352106029139,531.1287955613017,1847387
2014-03-26,517.96484375,533.8713056547255,514.9024193664796,533.5970678555599,2802852
2014-03-27,512.434326171875,524.5012952345321,508.2748935083222,520.1133217015961,4290306
2014-03-28,514.8568115234375,521.8501276956092,511.1544611033345,517.4164577523912,2223819
2014-03-31,525.4153442382812,527.4722116145947,517.416415552618,519.244742109341,2390417
2014-04-01,522.99267578125,528.3862602720113,521.3014964015821,525.6437710318452,1186522
2014-04-02,525.8723754882812,531.5858954305703,521.1644127373978,522.901345118291,3765317
2014-04-03,528.8890991210938,532.7742926543948,525.8266747721053,528.706255325014,2438673
2014-04-04,522.7185668945312,534.419846045014,521.2559279242585,530.2147171584046,2519378
2014-04-07,537.6195068359375,543.7444131581152,524.5012835441698,530.2148051514048,10031924
2014-04-09,575.9229736328125,580.4023968572891,542.0989259750124,545.7555797758556,13263006
2014-04-10,562.5762329101562,587.8071228639432,558.5538912439647,579.3968076139771,6187333
2014-04-11,574.2318115234375,580.0367272953406,564.1302604458657,566.7813568528151,4707211
2014-04-15,563.490234375,579.4880908172288,561.7533019285485,577.7511583707773,2743702
2014-04-16,561.1591186523438,570.1636606232222,559.5593328794369,564.4044429999774,1792061
2014-04-17,571.39794921875,572.2664158013143,561.3878466010209,561.7535343608748,2033985
2014-04-21,567.9239501953125,575.2372565962179,566.232770408543,574.7344779403757,1324788
2014-04-22,566.7356567382812,569.8437790715171,563.7646254484483,563.7646254484483,1194987
2014-04-23,571.9005126953125,580.4936696511064,563.5816493541844,563.5816493541844,3220766
2014-04-24,571.9005126953125,571.9005126953125,571.9005126953125,571.9005126953125,0
2014-04-25,568.6095581054688,578.3911163253453,567.6953948287719,573.1803744889532,1463948
2014-04-28,582.002197265625,583.9676152544419,567.7869106269638,567.7869106269638,2305579
2014-04-29,584.5618896484375,588.6756255983968,578.2084418553885,584.1505048942187,3027198
